hostname	config	avg_tokens_per_second	stddev_tokens_per_second	raw_timings
wall	cpu (-t 2)	10.922	0.179	[["0.6400", "90.0100", "90.0100"], ["0.6500", "90.9800", "90.9800"], ["0.6600", "90.6200", "90.6200"], ["0.6500", "92.0000", "92.0000"], ["0.6600", "94.3800", "94.3800"]]
wall	cpu (-t 3)	15.444	0.3348	[["0.6600", "62.9700", "62.9700"], ["0.6600", "66.2300", "66.2300"], ["0.6400", "65.1100", "65.1100"], ["0.6700", "63.3500", "63.3500"], ["0.6600", "66.2700", "66.2700"]]
wall	cpu (-t 4)	20.066	0.4384	[["0.6600", "50.0200", "50.0200"], ["0.6500", "47.9700", "47.9700"], ["0.6500", "50.2800", "50.2800"], ["0.6600", "51.2600", "51.2600"], ["0.6700", "49.7700", "49.7700"]]
wall	cpu (-t 5)	24.718	0.6141	[["0.6700", "39.5800", "39.5800"], ["0.6700", "41.5600", "41.5600"], ["0.6600", "41.8800", "41.8800"], ["0.6600", "39.6900", "39.6900"], ["0.6700", "39.7100", "39.7100"]]
wall	cpu (-t 6)	28.144	1.3179	[["0.6700", "34.2100", "34.2100"], ["0.6800", "39.0100", "39.0100"], ["0.6800", "35.6600", "35.6600"], ["0.6700", "34.6000", "34.6000"], ["0.6800", "34.5800", "34.5800"]]
wall	cpu (-t 7)	31.332	0.6922	[["0.6900", "31.6200", "31.6200"], ["0.6800", "32.8100", "32.8100"], ["0.6700", "32.0500", "32.0500"], ["0.6800", "32.4000", "32.4000"], ["0.6800", "30.7800", "30.7800"]]
wall	cpu (-t 8)	32.858	2.6769	[["0.6700", "29.0000", "29.0000"], ["0.7000", "28.5600", "28.5600"], ["0.6700", "28.7300", "28.7300"], ["0.6700", "31.2100", "31.2100"], ["0.6800", "35.7800", "35.7800"]]
wall	cpu (-t 9)	24.146	0.1067	[["0.6500", "41.7500", "41.7500"], ["0.6600", "41.2900", "41.2900"], ["0.6600", "41.4000", "41.4000"], ["0.6700", "41.4100", "41.4100"], ["0.6600", "41.2200", "41.2200"]]
wall	cpu (-t 10)	26.366	0.1145	[["0.6600", "38.2400", "38.2400"], ["0.6500", "37.9300", "37.9300"], ["0.6600", "37.8500", "37.8500"], ["0.6600", "37.8500", "37.8500"], ["0.6600", "37.7700", "37.7700"]]
wall	cpu (-t 11)	28.618	0.0778	[["0.6500", "35.0500", "35.0500"], ["0.6500", "34.9100", "34.9100"], ["0.6500", "34.8400", "34.8400"], ["0.6500", "34.8600", "34.8600"], ["0.6500", "35.0600", "35.0600"]]
wall	cpu (-t 12)	30.568	0.0649	[["0.6600", "32.6900", "32.6900"], ["0.6400", "32.7700", "32.7700"], ["0.6500", "32.6000", "32.6000"], ["0.6500", "32.7000", "32.7000"], ["0.6500", "32.8100", "32.8100"]]
wall	cpu (-t 13)	32.328	0.2604	[["0.6600", "31.1000", "31.1000"], ["0.6500", "30.7900", "30.7900"], ["0.6500", "31.3100", "31.3100"], ["0.6600", "30.5900", "30.5900"], ["0.6600", "30.8800", "30.8800"]]
wall	cpu (-t 14)	33.558	0.9618	[["0.6600", "30.3900", "30.3900"], ["0.6500", "29.2000", "29.2000"], ["0.6600", "29.0600", "29.0600"], ["0.6600", "29.2000", "29.2000"], ["0.6600", "31.2800", "31.2800"]]
wall	cpu (-t 15)	33.568	2.0738	[["0.6700", "28.3900", "28.3900"], ["0.6600", "29.9200", "29.9200"], ["0.6500", "29.0600", "29.0600"], ["0.6600", "33.7500", "33.7500"], ["0.6700", "28.4400", "28.4400"]]
wall	cpu (-t 16)	31.796	2.0198	[["0.6600", "33.0400", "33.0400"], ["0.6600", "29.3100", "29.3100"], ["0.6600", "29.2500", "29.2500"], ["0.6700", "32.0900", "32.0900"], ["0.6600", "34.2000", "34.2000"]]
wall	cpu (-t 17)	0.222	0.0098	[["0.6600", "4504.0400", "4504.0400"], ["0.6700", "4545.1500", "4545.1500"], ["0.6700", "4829.1400", "4829.1400"], ["0.6800", "4196.4400", "4196.4400"], ["0.6700", "4477.6400", "4477.6400"]]
wall	cpu (openblas, -t 1)	5.588	0.0487	[["0.6200", "177.7900", "177.7900"], ["0.6200", "177.4700", "177.4700"], ["0.6100", "178.0200", "178.0200"], ["0.6200", "179.6000", "179.6000"], ["0.6100", "181.6700", "181.6700"]]
wall	cpu (openblas, -t 2)	10.846	0.0758	[["0.6200", "92.5600", "92.5600"], ["0.6000", "92.7400", "92.7400"], ["0.6100", "92.6600", "92.6600"], ["0.6200", "91.9300", "91.9300"], ["0.6200", "91.0600", "91.0600"]]
wall	cpu (openblas, -t 3)	15.824	0.1529	[["0.6300", "63.0700", "63.0700"], ["0.6300", "63.2200", "63.2200"], ["0.6100", "62.5300", "62.5300"], ["0.6400", "62.8600", "62.8600"], ["0.6400", "64.3600", "64.3600"]]
wall	cpu (openblas, -t 4)	20.548	0.1422	[["0.6300", "48.8000", "48.8000"], ["0.6300", "48.0300", "48.0300"], ["0.6100", "48.8400", "48.8400"], ["0.6500", "49.0000", "49.0000"], ["0.6300", "48.6900", "48.6900"]]
wall	cpu (openblas, -t 5)	24.908	0.1243	[["0.6300", "40.1800", "40.1800"], ["0.6300", "40.4500", "40.4500"], ["0.6300", "39.8200", "39.8200"], ["0.6300", "40.1800", "40.1800"], ["0.6300", "40.1200", "40.1200"]]
wall	cpu (openblas, -t 6)	28.928	0.1796	[["0.6400", "34.7300", "34.7300"], ["0.6400", "34.6100", "34.6100"], ["0.6400", "34.2600", "34.2600"], ["0.6300", "34.4000", "34.4000"], ["0.6300", "34.8400", "34.8400"]]
wall	cpu (openblas, -t 7)	32.254	0.2098	[["0.6400", "30.8200", "30.8200"], ["0.6400", "31.3000", "31.3000"], ["0.6300", "31.1800", "31.1800"], ["0.6300", "30.7900", "30.7900"], ["0.6300", "30.9400", "30.9400"]]
wall	cpu (openblas, -t 8)	35.202	0.3974	[["0.6400", "28.9000", "28.9000"], ["0.6400", "27.9600", "27.9600"], ["0.6500", "28.4300", "28.4300"], ["0.6500", "28.5600", "28.5600"], ["0.6400", "28.2000", "28.2000"]]
wall	cpu (openblas, -t 9)	24.038	0.2583	[["0.6200", "42.0500", "42.0500"], ["0.6100", "40.8000", "40.8000"], ["0.6200", "41.5300", "41.5300"], ["0.6200", "41.7100", "41.7100"], ["0.6200", "41.9500", "41.9500"]]
wall	cpu (openblas, -t 10)	26.064	0.0845	[["0.6200", "38.5500", "38.5500"], ["0.6200", "38.2300", "38.2300"], ["0.6300", "38.3200", "38.3200"], ["0.6100", "38.2700", "38.2700"], ["0.6100", "38.4800", "38.4800"]]
wall	cpu (openblas, -t 11)	28.048	0.0823	[["0.6300", "35.5100", "35.5100"], ["0.6400", "35.6400", "35.6400"], ["0.6300", "35.7800", "35.7800"], ["0.6200", "35.7600", "35.7600"], ["0.6200", "35.5800", "35.5800"]]
wall	cpu (openblas, -t 12)	30.062	0.2128	[["0.6200", "33.4900", "33.4900"], ["0.6200", "33.2700", "33.2700"], ["0.6400", "33.3000", "33.3000"], ["0.6400", "32.8300", "32.8300"], ["0.6200", "33.4500", "33.4500"]]
wall	cpu (openblas, -t 13)	31.694	0.1519	[["0.6400", "31.4000", "31.4000"], ["0.6300", "31.8300", "31.8300"], ["0.6300", "31.5200", "31.5200"], ["0.6200", "31.5900", "31.5900"], ["0.6200", "31.4400", "31.4400"]]
wall	cpu (openblas, -t 14)	33.176	0.1977	[["0.6300", "30.3100", "30.3100"], ["0.6200", "30.2200", "30.2200"], ["0.6300", "30.1300", "30.1300"], ["0.6200", "30.2500", "30.2500"], ["0.6400", "29.8100", "29.8100"]]
wall	cpu (openblas, -t 15)	32.572	0.894	[["0.6400", "31.4900", "31.4900"], ["0.6300", "29.4100", "29.4100"], ["0.6400", "30.7600", "30.7600"], ["0.6500", "31.7100", "31.7100"], ["0.6300", "30.2600", "30.2600"]]
wall	cpu (openblas, -t 16)	29.442	1.5181	[["0.6300", "34.6300", "34.6300"], ["0.6300", "32.0700", "32.0700"], ["0.6400", "32.7600", "32.7600"], ["0.6400", "37.2900", "37.2900"], ["0.6300", "33.5600", "33.5600"]]
wall	cpu (openblas, -t 17)	0.216	0.012	[["0.6400", "4716.9700", "4716.9700"], ["0.6400", "4651.7400", "4651.7400"], ["0.6500", "4196.1500", "4196.1500"], ["0.6500", "4716.6500", "4716.6500"], ["0.6400", "4805.7500", "4805.7500"]]
wall	gpu (-t 1, -ngl 0)	5.55	0.0379	[["0.6500", "177.8700", "177.8700"], ["0.6600", "180.9100", "180.9100"], ["0.6900", "179.8300", "179.8300"], ["0.6600", "181.3200", "181.3200"], ["0.6600", "181.0500", "181.0500"]]
wall	gpu (-t 6, -ngl 0)	28.784	0.3248	[["0.7000", "34.8000", "34.8000"], ["0.6800", "34.5300", "34.5300"], ["0.6900", "34.1500", "34.1500"], ["0.6900", "35.3200", "35.3200"], ["0.6800", "34.9300", "34.9300"]]
wall	gpu (-t 11, -ngl 0)	28.032	0.0882	[["0.6800", "35.5400", "35.5400"], ["0.6800", "35.8100", "35.8100"], ["0.6800", "35.8000", "35.8000"], ["0.6800", "35.6500", "35.6500"], ["0.6800", "35.5800", "35.5800"]]
wall	gpu (-t 16, -ngl 0)	30.732	1.7353	[["0.6900", "31.4100", "31.4100"], ["0.6800", "32.5600", "32.5600"], ["0.6900", "31.1500", "31.1500"], ["0.6900", "36.5100", "36.5100"], ["0.6900", "31.6300", "31.6300"]]
wall	gpu (-t 17, -ngl 0)	0.266	0.0174	[["0.6900", "3899.3600", "3899.3600"], ["0.6900", "3402.7700", "3402.7700"], ["0.6900", "4248.7500", "4248.7500"], ["0.6900", "3588.7300", "3588.7300"], ["0.7000", "3866.3500", "3866.3500"]]
wall	gpu (-t 1, -ngl 10)	7.272	0.1582	[["0.6900", "135.7700", "135.7700"], ["0.6900", "143.6500", "143.6500"], ["0.7100", "135.8200", "135.8200"], ["0.6900", "135.6800", "135.6800"], ["0.6900", "137.0300", "137.0300"]]
wall	gpu (-t 6, -ngl 10)	30.15	0.1792	[["0.7200", "33.0800", "33.0800"], ["0.7100", "33.0900", "33.0900"], ["0.7300", "32.9500", "32.9500"], ["0.7300", "33.5400", "33.5400"], ["0.7200", "33.1900", "33.1900"]]
wall	gpu (-t 11, -ngl 10)	29.862	0.0922	[["0.6700", "33.3800", "33.3800"], ["0.6800", "33.5700", "33.5700"], ["0.6700", "33.4400", "33.4400"], ["0.6700", "33.4000", "33.4000"], ["0.6700", "33.6500", "33.6500"]]
wall	gpu (-t 16, -ngl 10)	30.43	3.0153	[["0.6900", "37.1100", "37.1100"], ["0.6800", "29.5800", "29.5800"], ["0.6800", "37.2700", "37.2700"], ["0.6900", "30.0200", "30.0200"], ["0.6900", "32.0000", "32.0000"]]
wall	gpu (-t 17, -ngl 10)	0.38	0.021	[["0.6900", "2397.1500", "2397.1500"], ["0.7300", "2728.6500", "2728.6500"], ["0.7000", "2622.4500", "2622.4500"], ["0.7000", "2680.5500", "2680.5500"], ["0.6900", "2771.8500", "2771.8500"]]
wall	gpu (-t 1, -ngl 20)	11.302	0.1482	[["0.6900", "87.9500", "87.9500"], ["0.8400", "86.9700", "86.9700"], ["0.7900", "90.4500", "90.4500"], ["0.6500", "89.0200", "89.0200"], ["0.7900", "88.0800", "88.0800"]]
wall	gpu (-t 6, -ngl 20)	31.904	0.1177	[["0.6600", "31.1400", "31.1400"], ["0.6700", "31.3100", "31.3100"], ["0.6600", "31.4800", "31.4800"], ["0.6700", "31.3700", "31.3700"], ["0.6700", "31.4300", "31.4300"]]
wall	gpu (-t 11, -ngl 20)	31.644	0.1586	[["0.6900", "31.5900", "31.5900"], ["0.6700", "31.8000", "31.8000"], ["0.6700", "31.4700", "31.4700"], ["0.6700", "31.7700", "31.7700"], ["0.6700", "31.4000", "31.4000"]]
wall	gpu (-t 16, -ngl 20)	31.434	2.1163	[["0.6800", "29.0400", "29.0400"], ["0.6900", "35.2400", "35.2400"], ["0.6900", "31.9300", "31.9300"], ["0.6800", "33.2200", "33.2200"], ["0.7000", "30.3700", "30.3700"]]
wall	gpu (-t 17, -ngl 20)	0.608	0.0172	[["0.7000", "1567.3400", "1567.3400"], ["0.7100", "1626.2500", "1626.2500"], ["0.6900", "1654.5500", "1654.5500"], ["0.6900", "1709.0300", "1709.0300"], ["0.6900", "1659.9300", "1659.9300"]]
wall	gpu (-t 1, -ngl 30)	24.006	0.0459	[["0.6600", "41.7900", "41.7900"], ["0.6600", "41.7100", "41.7100"], ["0.6400", "41.6200", "41.6200"], ["0.6400", "41.6200", "41.6200"], ["0.6400", "41.5700", "41.5700"]]
wall	gpu (-t 6, -ngl 30)	33.142	0.117	[["0.8400", "30.0800", "30.0800"], ["0.8500", "30.2200", "30.2200"], ["0.8500", "30.1400", "30.1400"], ["0.8400", "30.3600", "30.3600"], ["0.8100", "30.0700", "30.0700"]]
wall	gpu (-t 11, -ngl 30)	33.392	0.0736	[["0.6500", "29.9200", "29.9200"], ["0.6600", "30.0200", "30.0200"], ["0.6600", "29.9700", "29.9700"], ["0.6600", "29.8300", "29.8300"], ["0.6600", "29.9900", "29.9900"]]
wall	gpu (-t 16, -ngl 30)	33.232	0.9867	[["0.6800", "29.5900", "29.5900"], ["0.7000", "30.1000", "30.1000"], ["0.6900", "31.9200", "31.9200"], ["0.6800", "29.4000", "29.4000"], ["0.6800", "29.5900", "29.5900"]]
wall	gpu (-t 17, -ngl 30)	4.142	0.8659	[["0.7000", "210.9500", "210.9500"], ["0.6900", "266.3200", "266.3200"], ["0.7000", "252.9100", "252.9100"], ["0.7000", "185.3500", "185.3500"], ["0.6900", "349.0000", "349.0000"]]
wall	gpu (-t 1, -ngl 33)	34.786	0.1303	[["0.9400", "28.8700", "28.8700"], ["0.9700", "28.7800", "28.7800"], ["0.9700", "28.8300", "28.8300"], ["0.9700", "28.7000", "28.7000"], ["0.9500", "28.5600", "28.5600"]]
wall	gpu (-t 6, -ngl 33)	34.918	0.1187	[["0.9800", "28.4700", "28.4700"], ["0.9700", "28.7500", "28.7500"], ["0.9800", "28.7200", "28.7200"], ["0.6900", "28.6100", "28.6100"], ["0.9300", "28.6400", "28.6400"]]
wall	gpu (-t 11, -ngl 33)	34.912	0.1918	[["0.9600", "28.7900", "28.7900"], ["0.9700", "28.4400", "28.4400"], ["0.7000", "28.4700", "28.4700"], ["0.8600", "28.8100", "28.8100"], ["0.9800", "28.7000", "28.7000"]]
wall	gpu (-t 16, -ngl 33)	34.638	0.18	[["0.9600", "29.1000", "29.1000"], ["0.9700", "28.9300", "28.9300"], ["0.9600", "28.9000", "28.9000"], ["0.9300", "28.6700", "28.6700"], ["0.7600", "28.7500", "28.7500"]]
wall	gpu (-t 17, -ngl 33)	35.166	0.3105	[["1.0400", "28.3700", "28.3700"], ["0.9600", "28.8900", "28.8900"], ["0.9800", "28.4000", "28.4000"], ["0.6500", "28.1100", "28.1100"], ["0.7400", "28.4200", "28.4200"]]
wall	gpu (cuda, -t 1, -ngl 0)	5.59	0.0228	[["0.6600", "178.7500", "178.7500"], ["0.6500", "178.9100", "178.9100"], ["0.6300", "180.1500", "180.1500"], ["0.6300", "178.4400", "178.4400"], ["0.6400", "177.9200", "177.9200"]]
wall	gpu (cuda, -t 6, -ngl 0)	29.146	0.3586	[["0.6600", "34.7700", "34.7700"], ["0.6500", "34.1200", "34.1200"], ["0.6600", "33.7500", "33.7500"], ["0.6800", "34.1000", "34.1000"], ["0.6900", "34.8400", "34.8400"]]
wall	gpu (cuda, -t 11, -ngl 0)	28.548	0.0611	[["0.6500", "34.9800", "34.9800"], ["0.6500", "35.0100", "35.0100"], ["0.6500", "35.1400", "35.1400"], ["0.6700", "34.9300", "34.9300"], ["0.6500", "35.0900", "35.0900"]]
wall	gpu (cuda, -t 16, -ngl 0)	33.468	1.8355	[["0.6600", "28.6700", "28.6700"], ["0.6700", "30.5100", "30.5100"], ["0.6600", "28.9500", "28.9500"], ["0.6700", "33.1600", "33.1600"], ["0.6600", "28.5900", "28.5900"]]
wall	gpu (cuda, -t 17, -ngl 0)	0.224	0.008	[["0.6600", "4276.9500", "4276.9500"], ["0.6600", "4401.7500", "4401.7500"], ["0.6800", "4441.9500", "4441.9500"], ["0.6600", "4620.4400", "4620.4400"], ["0.6600", "4689.6500", "4689.6500"]]
wall	gpu (cuda, -t 1, -ngl 10)	7.716	0.1038	[["0.6400", "132.2800", "132.2800"], ["0.6300", "130.3800", "130.3800"], ["0.6200", "127.4300", "127.4300"], ["0.6400", "130.0000", "130.0000"], ["0.6300", "128.1000", "128.1000"]]
wall	gpu (cuda, -t 6, -ngl 10)	37.194	0.211	[["0.6500", "26.7900", "26.7900"], ["0.6400", "26.9300", "26.9300"], ["0.6400", "26.6500", "26.6500"], ["0.6400", "27.0900", "27.0900"], ["0.6400", "26.9700", "26.9700"]]
wall	gpu (cuda, -t 11, -ngl 10)	35.316	0.1509	[["0.6500", "28.1000", "28.1000"], ["0.6500", "28.4300", "28.4300"], ["0.6500", "28.2800", "28.2800"], ["0.6600", "28.4000", "28.4000"], ["0.6500", "28.3700", "28.3700"]]
wall	gpu (cuda, -t 16, -ngl 10)	39.036	2.7854	[["0.6900", "25.8300", "25.8300"], ["0.6700", "24.3400", "24.3400"], ["0.6500", "26.2700", "26.2700"], ["0.6600", "28.9200", "28.9200"], ["0.6500", "23.4000", "23.4000"]]
wall	gpu (cuda, -t 17, -ngl 10)	0.326	0.008	[["0.6500", "3063.7500", "3063.7500"], ["0.6700", "3005.9200", "3005.9200"], ["0.6600", "2995.7500", "2995.7500"], ["0.6500", "2997.8500", "2997.8500"], ["0.6900", "3179.7200", "3179.7200"]]
wall	gpu (cuda, -t 1, -ngl 20)	13.28	0.1343	[["0.6200", "75.4800", "75.4800"], ["0.6300", "75.0200", "75.0200"], ["0.6200", "74.9900", "74.9900"], ["0.6200", "74.3800", "74.3800"], ["0.6400", "76.6900", "76.6900"]]
wall	gpu (cuda, -t 6, -ngl 20)	53.722	0.3947	[["0.6400", "18.4000", "18.4000"], ["0.6400", "18.5900", "18.5900"], ["0.6700", "18.6400", "18.6400"], ["0.6700", "18.6200", "18.6200"], ["0.6400", "18.8300", "18.8300"]]
